code,condition,age,gender,professional_experience,current_occupation,experience_with_robots,experience_type,highest_degree,mood_pre_arousal,mood_pre_valence,robot,selected_drill,competence_8,competence_9,competence_10,competence_11,benevolence_1,benevolence_2,benevolence_3,integrity_4,integrity_5,integrity_6,integrity_7,customer_account,attitude_1,attitude_2,attitude_3,perceived_usefulness_1,perceived_usefulness_2,perceived_usefulness_3,perceived_ease_use_1,perceived_ease_use_2,perceived_ease_use_3,perceived_ease_use_4,perceived_ease_use_5,perceived_enjoyment_1,perceived_enjoyment_2,perceived_enjoyment_3,perceived_enjoyment_4,perceived_enjoyment_5,perceived_sociability_1,perceived_sociability_2,perceived_sociability_3,perceived_sociability_4,social_presents_1,social_presents_2,social_presents_3,social_presents_4,social_presents_5,customer_satisfaction_2,customer_satisfaction_1,customer_satisfaction_3,customer_satisfaction_4,mood_post_arousal,mood_post_valence,during_drill_arousal,during_drill_valence,at_drillrecommendation_arousal,at_drillrecommendation_valence,after_drill_valence,after_drill_arousal,during_customeraccount_valence,during_customeraccount_arousal,at_customeraccount_name_valence,at_customeraccount_name_arousal,at_customeraccount_consent_valence,at_customeraccount_consent_arousal,after_customeraccount_valence,after_customeraccount_arousal,during_moldremover_valence,during_moldremover_arousal,at_moldremover_handover_valence,at_moldremover_handover_arousal,after_moldremover_valence,after_moldremover_arousal,at_good-bye_valence,at_good-bye_arousal,disclosure_encompassment,disclosure_completeness,disclosure_need,disclosure_sufficience,clarity_understandable,clarity_clear,clarity_comprehensive,clarity_translated_understandable,accuracy_true,accuracy_correct,accuracy_accurate,accuracy_right,responsibility_store_vs_robot,responsibility_store_vs_customer,responsibility_customer_vs_robot,damage_store,damage_customer,damage_robot,d_1,e_1,c_1,a_1,e_2,a_2,b_1,c_2,d_2,f_1,f_2
257c39b5836cb3e132834dc553c979d648fbea2fd3f4f7aa4f47b6c1153357f0,neutral,24,male,2,1,2,3,3,1,4,tiago,2.0,5,5,5,5,5,3,5,5,5,1,5,2.0,5,5,5,4,5,5,5.0,5.0,5.0,5.0,5.0,5,5,5,5,1,5,5,4,5,4.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,3,3,4,5,1,5,3,3,1,3,5,1,1,5,1,5,5,3,4,1,4,1,5,1,2,2,5,2,5,5,5,5,5.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0
2799aeeb2214eb8dd365b054cd61bf9db415797ec1bb815771fb092e4dfdf599,neutral,27,male,2,2,1,6,5,4,4,tiago,2.0,5,5,4,4,5,4,4,4,5,4,4,1.0,4,5,4,5,5,5,5.0,5.0,5.0,5.0,5.0,4,4,4,5,2,4,3,5,4,2.0,4.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,3,4,4,4,4,4,4,4,4,4,3,3,2,5,4,3,4,5,4,5,4,3,4,2,4,4,4,4,5,5,5,5,4.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
175b11b0e540550823b8f57473c01e5361301c0d6c54769c94bea329b34d18d9,neutral,35,male,5,2,2,1,3,4,4,tiago,2.0,5,4,3,4,4,5,5,4,5,5,3,1.0,4,5,5,4,3,4,5.0,3.0,5.0,5.0,5.0,3,4,3,5,2,3,4,5,3,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5,4,5,5,5,5,5,5,4,5,3,5,3,5,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,3,5,4.0,5.0,3.0,4.0,2.0,1.0,6.0,5.0,2.0,1.0,5.0,4.0,1.0,5.0,2.0,4.0,5.0,1.0,5.0,5.0,5.0
f4fc9e0bee39f32ccae88dc193d24617cd925d7f8b662490a3525adcd4d9cb64,neutral,30,male,2,2,2,3,5,4,4,tiago,2.0,2,5,1,4,2,4,4,4,4,4,4,2.0,2,5,3,2,1,1,1.0,4.0,5.0,5.0,5.0,4,4,4,4,3,2,4,1,5,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3,3,4,2,3,4,2,4,1,3,3,3,3,3,1,3,2,5,5,4,4,2,2,3,3,4,4,2,5,4,5,5,2.0,4.0,4.0,4.0,1.0,1.0,7.0,5.0,1.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0
2d741e4af099fec901ba348b6eeba45e268eed48c95962064af04ab4061450b3,neutral,25,male,3,1,5,5,4,4,4,tiago,2.0,5,5,3,5,2,4,2,3,2,2,2,2.0,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,4,4,5,5,1,4,4,4,1,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4,4,4,3,4,4,4,3,3,4,2,4,1,4,2,3,4,4,4,4,5,3,4,2,5,5,4,5,5,5,5,5,4.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0
408cec64afd09878ee82910cc7d0fd97e6d4f3d16d12dfaddca5605bb8379c4f,neutral,40,male,5,2,2,1,5,4,4,tiago,2.0,4,3,4,4,3,3,3,4,4,4,4,1.0,4,4,4,5,5,5,5.0,5.0,5.0,5.0,5.0,4,5,3,4,2,5,5,3,4,1.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4,3,4,2,2,3,4,2,2,3,2,3,1,3,2,3,3,3,4,4,4,4,3,3,1,1,1,1,5,5,5,5,3.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0
f17aaed126637db55674b60b6e5df18b7ad6fb901651ff25613c22d563cc52b5,neutral,26,female,2,1,2,3,4,2,4,tiago,2.0,3,3,2,2,3,2,4,4,3,3,3,1.0,4,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,2,3,2,3,4,3,3,2,4,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1,5,1,4,1,3,4,1,3,1,3,2,3,2,3,2,3,1,4,1,5,1,4,1,1,4,3,2,4,4,4,4,4.0,4.0,4.0,4.0,2.0,2.0,6.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0
eab80425a226a067aa4ac61eff645ce0e53676e3f29265f57a0f8fc04e53efeb,neutral,27,female,2,2,1,1,5,4,4,tiago,2.0,5,5,5,5,5,5,5,3,3,3,3,1.0,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5,5,5,5,1,5,5,5,5,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4,4,5,5,5,5,4,4,2,5,2,5,2,5,3,3,4,2,5,5,4,2,5,4,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0
2462788a541f3772221bd44769cfe111823ca51e135d4e7b60874a73325984eb,neutral,24,female,1,1,1,1,3,1,4,tiago,2.0,4,3,3,4,3,4,4,3,4,4,4,1.0,4,4,4,4,4,4,5.0,5.0,5.0,5.0,5.0,5,5,5,5,1,4,5,5,5,1.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,1,4,1,4,1,4,4,1,4,1,3,1,4,1,3,1,4,1,4,1,4,1,4,1,4,5,5,5,5,5,5,5,4.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0
078ebcf7c9b662a90508e9e6f411707f677409eb0421c94a8aeebea9e7bda407,neutral,30,female,2,1,3,3,3,2,4,tiago,2.0,4,4,4,4,2,3,1,3,3,5,3,1.0,4,1,4,4,3,3,5.0,5.0,5.0,5.0,5.0,2,1,4,3,3,2,4,2,4,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2,4,4,4,1,3,3,1,2,1,3,1,1,1,3,1,3,1,3,1,3,1,4,1,2,5,2,2,5,5,5,5,5.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0
b1d5f67d3ee6e58b85238a74e11cbb7a2b1881b831731ae2eb2ed1792e121638,neutral,24,female,1,1,1,6,4,1,3,tiago,2.0,4,5,4,5,5,5,4,5,4,5,5,1.0,4,5,4,4,4,5,5.0,5.0,5.0,5.0,5.0,5,5,5,5,2,5,5,5,5,2.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,2,4,4,4,4,3,3,2,2,3,3,3,2,2,3,2,5,2,5,2,5,2,5,2,4,5,4,4,5,5,5,5,5.0,5.0,2.0,5.0,2.0,2.0,2.0,4.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0
b2e8d65dbdad1dc5650ad517a2cdf7f80435120da845df4f4f736e9baac2d690,neutral,50,female,5,2,2,1,5,4,4,tiago,2.0,3,3,3,4,4,4,3,4,4,4,3,2.0,2,1,2,2,3,2,4.0,5.0,4.0,4.0,5.0,1,1,4,1,3,3,2,4,2,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4,4,3,3,3,3,3,3,2,2,3,3,1,3,3,3,4,3,3,3,3,3,4,3,2,2,3,2,4,4,2,5,4.0,4.0,2.0,3.0,1.0,1.0,6.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0
